county,2016,2017,2018,2019,2020,2021
"Knox County, Maine",32383,32423,32604,32578,32773,33323
"Lincoln County, Maine",28265,28207,28366,28480,28615,29017
"Oxford County, Maine",45882,46046,46425,46777,47137,47218
"Penobscot County, Maine",124370,124006,123712,123988,124181,124526
"Piscataquis County, Maine",14031,14012,13972,13926,13984,13887
"Sagadahoc County, Maine",28350,28325,28541,28707,29002,29656
"Somerset County, Maine",41098,40918,40818,40783,40958,40838
"Waldo County, Maine",31410,31698,31920,32121,32353,32247
"Washington County, Maine",25839,25802,25668,25498,25384,25006
"York County, Maine",160721,162026,164003,165549,167424,171184
"Allegany County, Maryland",60192,59788,59367,58996,58697,56844
"Anne Arundel County, Maryland",432933,437743,440594,443546,447015,452868
"Baltimore County, Maryland",647052,649612,648871,649094,649107,664734
"Calvert County, Maryland",68585,69085,69572,70189,70724,70902
"Caroline County, Maryland",24840,24966,25061,25208,25410,25316
"Carroll County, Maryland",129782,129980,130566,131020,131611,134381
"Cecil County, Maryland",78128,78578,78933,79220,79590,79928
"Charles County, Maryland",115970,117638,119324,120955,122701,125346
"Dorchester County, Maryland",25569,25529,25409,25329,25260,25614
"Frederick County, Maryland",185039,187788,190118,192678,196534,204925
"Garrett County, Maryland",23768,23807,23730,23734,23744,23599
"Harford County, Maryland",192280,193094,194377,195654,197167,200979
"Howard County, Maryland",232158,235647,237984,240908,243854,248776
"Kent County, Maryland",16536,16467,16451,16454,16411,16270
"Montgomery County, Maryland",784667,795544,796524,799948,804172,810843
"Prince George's County, Maryland",693964,701361,702592,705633,707643,743664
"Queen Anne's County, Maryland",37848,38246,38574,38865,39410,38994
"St. Mary's County, Maryland",83092,83491,84080,84945,85771,85729
"Somerset County, Maryland",21535,21457,21373,21274,21309,20578
"Talbot County, Maryland",30625,30529,30359,30310,30291,30597
"Washington County, Maryland",116184,116256,116676,117164,117762,120214
"Wicomico County, Maryland",79212,79538,79668,80034,80610,80381
"Worcester County, Maryland",42311,42427,42574,42799,43032,43259
"Baltimore city, Maryland",489822,489895,486481,483209,479033,470655
"Barnstable County, Massachusetts",180460,180399,180577,180919,181406,193713
"Berkshire County, Massachusetts",105479,105197,105195,104779,104638,107279
"Bristol County, Massachusetts",437363,440100,442308,444436,446748,456154
"Dukes County, Massachusetts",14023,14015,14031,14105,14504,16639
"Essex County, Massachusetts",599892,606834,611927,615581,619548,632842
"Franklin County, Massachusetts",57924,58130,58375,58214,58299,58759
"Hampden County, Massachusetts",362941,365255,366213,366129,366201,365560
"Hampshire County, Massachusetts",136034,136575,136824,137121,137922,138065
"Middlesex County, Massachusetts",1245180,1261398,1273978,1281363,1287958,1300957
"Nantucket County, Massachusetts",8561,8692,8770,8857,9431,11145
"Norfolk County, Massachusetts",541385,545083,549343,552309,556438,569343
"Plymouth County, Massachusetts",392639,396000,399612,403378,407265,414535
"Suffolk County, Massachusetts",635433,647638,657597,662970,668523,661346
"Worcester County, Massachusetts",634277,640471,645546,649132,652152,675791
"Alcona County, Michigan",9083,9055,9019,9010,9068,8830
"Alger County, Michigan",7938,7829,7796,7765,7719,7511
"Allegan County, Michigan",85377,85845,86894,87854,88797,90575
"Alpena County, Michigan",23299,23229,23144,23176,23105,23446
"Antrim County, Michigan",18791,18760,18872,18964,19096,19238
"Arenac County, Michigan",12509,12452,12408,12349,12295,12243
"Baraga County, Michigan",7147,7007,6956,6913,6865,6829
"Barry County, Michigan",45714,46111,46562,47069,47555,48293
"Bay County, Michigan",83797,83396,83138,82826,82603,82974
"Benzie County, Michigan",14122,14156,14284,14365,14497,14697
"Berrien County, Michigan",120193,120413,120560,120304,120300,120546
"Branch County, Michigan",33280,33342,33398,33475,33315,34218
"Calhoun County, Michigan",103261,103080,103326,103329,103332,103416
"Cass County, Michigan",40688,40489,40642,40763,40916,40850
"Charlevoix County, Michigan",20857,20940,21067,21130,21238,21218
"Cheboygan County, Michigan",20999,21009,21117,21161,21239,21438
"Chippewa County, Michigan",31027,30872,30790,30748,30617,30324
"Clare County, Michigan",24464,24526,24551,24574,24574,24633
"Clinton County, Michigan",59343,59531,60151,60710,61321,61264
"Crawford County, Michigan",11264,11249,11339,11381,11342,10714
"Delta County, Michigan",29094,29005,28899,28825,28781,29552
"Dickinson County, Michigan",20689,20558,20455,20390,20361,20755
"Eaton County, Michigan",84792,85154,85949,86404,86826,86203
"Emmet County, Michigan",26270,26280,26471,26647,26809,27491
"Genesee County, Michigan",315912,315424,315261,315087,314958,314323
"Gladwin County, Michigan",20407,20418,20404,20434,20504,20524
"Gogebic County, Michigan",13202,13160,13031,12708,12407,12450
"Grand Traverse County, Michigan",71749,72336,72891,73418,73952,75486
"Gratiot County, Michigan",33157,32892,32782,32764,32657,33548
"Hillsdale County, Michigan",35704,35682,35680,35712,35756,35722
"Houghton County, Michigan",29134,28930,29011,28785,28644,29812
"Huron County, Michigan",25746,25562,25431,25285,25146,25445
"Ingham County, Michigan",226922,228541,231330,232694,233508,229002
"Ionia County, Michigan",49196,49156,49146,49467,50043,51758
"Iosco County, Michigan",21110,21045,21044,21041,21069,21061
"Iron County, Michigan",9532,9442,9395,9364,9282,9590
"Isabella County, Michigan",58278,58278,58459,58416,58146,54089
"Jackson County, Michigan",124084,123939,124199,124222,124082,125987
"Kalamazoo County, Michigan",201578,202828,204409,205682,207218,204443
"Kalkaska County, Michigan",13533,13667,13778,13900,14021,14123
"Kent County, Michigan",470961,477971,484557,489908,494879,496712
"Keweenaw County, Michigan",1831,1778,1791,1799,1796,1743
"Lake County, Michigan",9473,9724,9829,9903,9888,10227
"Lapeer County, Michigan",68792,69020,69406,69625,69801,70329
"Leelanau County, Michigan",18060,17875,18047,18116,18154,18662
"Lenawee County, Michigan",77074,77244,77346,77525,77571,78344
"Livingston County, Michigan",142918,144632,146727,148558,150200,152312
"Luce County, Michigan",5366,5340,5306,5292,5255,4604
"Mackinac County, Michigan",9174,9044,9062,9090,9091,9138
"Macomb County, Michigan",671093,676775,682202,685403,687294,693313
"Manistee County, Michigan",20002,20082,20134,20185,20285,20604
"Marquette County, Michigan",55195,54984,54815,54669,54512,54412
"Mason County, Michigan",22763,22862,22954,23024,23166,23165
"Mecosta County, Michigan",35043,35028,35179,35194,35421,32552
"Menominee County, Michigan",18989,18932,18861,18816,18720,19200
"Midland County, Michigan",65135,65266,65384,65410,65604,65542
"Missaukee County, Michigan",11544,11505,11533,11548,11629,11584
"Monroe County, Michigan",116083,116386,116875,117373,117953,121061
"Montcalm County, Michigan",48435,48528,48901,49169,49368,51629
"Montmorency County, Michigan",7911,7890,7870,7884,7913,7755
"Muskegon County, Michigan",131203,131935,132477,132981,133601,135036
"Newaygo County, Michigan",36828,36887,37170,37429,37749,38456
"Oakland County, Michigan",961968,971055,981690,987162,992333,1005730
"Oceana County, Michigan",20005,20216,20280,20347,20554,20597
"Ogemaw County, Michigan",17125,17037,17049,17032,17057,16902
"Ontonagon County, Michigan",5354,5306,5217,5151,5120,5197
"Osceola County, Michigan",17717,17836,17942,18010,18108,17760
"Oscoda County, Michigan",6776,6728,6708,6668,6691,6603
"Otsego County, Michigan",18947,19035,19226,19334,19452,19731
"Ottawa County, Michigan",207794,211219,214644,217278,220020,223350
"Presque Isle County, Michigan",10818,10750,10732,10658,10677,10917
"Roscommon County, Michigan",20240,20298,20224,20194,20331,19927
"Saginaw County, Michigan",152127,151499,151071,150491,150124,149259
"St. Clair County, Michigan",124874,125137,125445,125663,126048,126613
"St. Joseph County, Michigan",45617,45669,45775,45830,45897,45863
"Sanilac County, Michigan",32442,32368,32346,32353,32365,32049
"Schoolcraft County, Michigan",6653,6631,6633,6659,6669,6613
"Shiawassee County, Michigan",53483,53567,53649,53741,53779,53796
"Tuscola County, Michigan",42397,42191,42093,41979,41899,42357
"Van Buren County, Michigan",57032,57170,57401,57628,57834,57826
"Washtenaw County, Michigan",288036,291898,296403,298124,299763,302814
"Wayne County, Michigan",1340199,1340969,1341036,1339576,1337948,1363035
"Wexford County, Michigan",25118,25192,25361,25497,25661,25716
"Aitkin County, Minnesota",13015,13206,13179,13183,13221,13113
"Anoka County, Minnesota",257663,261140,263648,266219,269260,274132
"Becker County, Minnesota",25179,25300,25496,25715,25915,26453
"Beltrami County, Minnesota",34113,34232,34476,34717,35006,34318
"Benton County, Minnesota",29737,29511,29785,29985,30174,30533
"Big Stone County, Minnesota",4041,4002,3977,3963,3908,4042
"Blue Earth County, Minnesota",52667,52779,53245,53585,54066,54859
"Brown County, Minnesota",19824,19713,19668,19701,19608,20198
"Carlton County, Minnesota",27401,27353,27473,27590,27695,28117
"Carver County, Minnesota",69997,71556,73034,74441,75949,77679
"Cass County, Minnesota",22541,22678,22870,23081,23267,23581
"Chippewa County, Minnesota",9338,9249,9221,9164,9117,9557
"Chisago County, Minnesota",41310,41592,42070,42621,43120,43446
"Clay County, Minnesota",47006,47291,47647,47938,48302,48785
"Clearwater County, Minnesota",6595,6634,6622,6630,6672,6365
"Cook County, Minnesota",4393,4488,4495,4553,4566,4692
"Cottonwood County, Minnesota",8811,8694,8616,8555,8523,8620
"Crow Wing County, Minnesota",49261,49477,49847,50248,50822,51661
"Dakota County, Minnesota",308354,311677,314944,317987,321489,329115
"Dodge County, Minnesota",14750,14945,15092,15238,15362,15438
"Douglas County, Minnesota",29039,29014,29228,29449,29713,30279
"Faribault County, Minnesota",11060,10909,10831,10765,10698,10825
"Fillmore County, Minnesota",15868,15784,15786,15830,15877,15923
"Freeborn County, Minnesota",24027,23914,23845,23777,23784,24032
"Goodhue County, Minnesota",35870,35636,35786,35886,36085,36882
"Grant County, Minnesota",4642,4615,4614,4606,4592,4664
"Hennepin County, Minnesota",939918,953313,962147,971097,979708,990122
"Houston County, Minnesota",14754,14681,14614,14609,14577,14596
"Hubbard County, Minnesota",16163,16362,16453,16577,16833,16682
"Isanti County, Minnesota",29013,29175,29586,30026,30529,30966
"Itasca County, Minnesota",35717,35650,35660,35655,35782,35588
"Jackson County, Minnesota",7897,7863,7841,7805,7734,7807
"Kanabec County, Minnesota",12423,12478,12535,12625,12743,12577
"Kandiyohi County, Minnesota",32351,32317,32320,32394,32456,32748
"Kittson County, Minnesota",3478,3439,3394,3383,3364,3289
"Koochiching County, Minnesota",10418,10331,10258,10225,10130,10020
"Lac qui Parle County, Minnesota",5528,5486,5459,5415,5332,5339
"Lake County, Minnesota",8759,8633,8710,8706,8713,8791
"Lake of the Woods County, Minnesota",3181,3120,3106,2972,3001,2973
"Le Sueur County, Minnesota",20914,21115,21255,21450,21668,21750
"Lincoln County, Minnesota",4492,4405,4397,4357,4308,4332
"Lyon County, Minnesota",19326,19383,19331,19202,19095,18847
"McLeod County, Minnesota",27369,27392,27471,27526,27561,28163
"Mahnomen County, Minnesota",3791,3792,3778,3762,3784,3720
"Marshall County, Minnesota",7234,7242,7251,7235,7203,6967
"Martin County, Minnesota",15798,15716,15656,15523,15448,15655
"Meeker County, Minnesota",17415,17451,17467,17481,17529,17571
"Mille Lacs County, Minnesota",19540,19385,19488,19634,19755,20072
"Morrison County, Minnesota",25087,25125,25209,25323,25268,25910
"Mower County, Minnesota",29464,29641,29663,29862,29876,29761
"Murray County, Minnesota",6678,6618,6580,6515,6477,6419
"Nicollet County, Minnesota",25841,26062,26351,26485,26647,26646
"Nobles County, Minnesota",15950,16043,15967,15829,15696,16041
"Norman County, Minnesota",5111,5039,5024,4983,4934,4950
"Olmsted County, Minnesota",112883,114192,115279,116680,118074,121281
"Otter Tail County, Minnesota",45291,45272,45397,45560,45730,46675
"Pennington County, Minnesota",10881,10922,10867,10870,10832,10787
"Pine County, Minnesota",23062,23125,23249,23413,23517,23297
"Pipestone County, Minnesota",7000,6941,6895,6846,6809,6847
"Polk County, Minnesota",24120,24055,24035,23911,23753,23560
"Pope County, Minnesota",8651,8608,8682,8729,8832,8839
"Ramsey County, Minnesota",407348,412358,415003,417404,419280,420543
"Red Lake County, Minnesota",3048,3027,3023,3030,3024,2954
"Redwood County, Minnesota",11771,11756,11593,11554,11422,11554
"Renville County, Minnesota",11635,11440,11345,11278,11219,11317
"Rice County, Minnesota",50662,50856,51268,51666,52062,52223
"Rock County, Minnesota",7146,7063,7059,7007,7096,7215
"Roseau County, Minnesota",11716,11721,11688,11609,11576,11606
"St. Louis County, Minnesota",161813,161822,161751,161637,161616,162031
"Scott County, Minnesota",99382,101201,102967,104800,106818,108824
"Sherburne County, Minnesota",66219,67062,68146,69300,70675,70895
"Sibley County, Minnesota",11310,11285,11352,11365,11384,11433
"Stearns County, Minnesota",118490,119573,120678,121794,122732,120609
"Steele County, Minnesota",27240,27363,27404,27482,27493,28029
"Stevens County, Minnesota",7711,7733,7733,7716,7698,7593
"Swift County, Minnesota",7382,7347,7292,7246,7210,7532
"Todd County, Minnesota",18485,18616,18631,18665,18745,19061
"Traverse County, Minnesota",2702,2661,2644,2659,2628,2655
"Wabasha County, Minnesota",16559,16787,16862,16908,16921,16745
"Wadena County, Minnesota",10392,10251,10239,10199,10188,10323
"Waseca County, Minnesota",14598,14422,14383,14365,14296,14527
"Washington County, Minnesota",185949,188145,190297,192870,195661,199818
"Watonwan County, Minnesota",8325,8294,8307,8287,8268,8446
"Wilkin County, Minnesota",4984,4933,4953,4863,4899,4991
"Winona County, Minnesota",41728,41643,41579,41564,41644,40873
"Wright County, Minnesota",92467,93631,95095,96617,98326,100797
"Yellow Medicine County, Minnesota",7708,7637,7589,7553,7512,7412
"Adams County, Mississippi",24656,24276,24943,24778,24458,23513
"Alcorn County, Mississippi",28394,28411,28417,28436,28489,26890
"Amite County, Mississippi",9982,9931,9876,9845,9809,10091
"Attala County, Mississippi",14225,13924,13842,13769,13691,13474
"Benton County, Mississippi",6446,6464,6453,6463,6528,6070
"Bolivar County, Mississippi",25170,24837,24447,23932,23520,23514
"Calhoun County, Mississippi",11142,11092,11085,11055,11034,10286
"Carroll County, Mississippi",8239,8204,8160,8132,8087,8165
"Chickasaw County, Mississippi",12992,12985,12972,12899,12831,12828
"Choctaw County, Mississippi",6408,6487,6477,6462,6423,6471
"Claiborne County, Mississippi",7210,7126,7128,7113,7037,7184
"Clarke County, Mississippi",12401,12408,12327,12239,12137,12205
"Clay County, Mississippi",15234,15257,15190,15112,15067,14458
"Coahoma County, Mississippi",17918,17541,17264,16900,16573,15915
"Copiah County, Mississippi",21896,21954,22009,21888,21795,21895
"Covington County, Mississippi",14634,14368,14313,14272,14219,13937
"DeSoto County, Mississippi",125118,127483,130054,132598,135567,136226
"Forrest County, Mississippi",58625,58258,58008,57778,57732,59467
"Franklin County, Mississippi",5900,5889,5894,5899,5913,5908
"George County, Mississippi",17165,17281,17412,17576,17733,17773
"Greene County, Mississippi",11080,11020,10998,10996,10979,11013
"Grenada County, Mississippi",16394,16287,16207,16070,15929,16397
"Hancock County, Mississippi",35693,36104,36714,37110,37735,36536
"Harrison County, Mississippi",150234,151837,153625,155213,156930,157443
"Hinds County, Mississippi",183372,182606,182137,180340,178579,174880
"Holmes County, Mississippi",13532,13414,13346,13139,12971,12865
"Humphreys County, Mississippi",6395,6325,6265,6140,6042,5834
"Issaquena County, Mississippi",1144,1115,1128,1162,1057,972
"Itawamba County, Mississippi",18260,18263,18346,18348,18308,18600
"Jackson County, Mississippi",106589,107327,108191,108782,109501,109494
"Jasper County, Mississippi",12702,12738,12751,12758,12735,12650
"Jefferson County, Mississippi",5768,5606,5658,5545,5556,5616
"Jefferson Davis County, Mississippi",9291,9229,9157,9055,8947,9091
"Jones County, Mississippi",50916,50863,50979,51019,51151,50326
"Kemper County, Mississippi",8005,8026,8158,8062,7999,7480
"Lafayette County, Mississippi",42738,43163,43749,43713,44033,45343
"Lamar County, Mississippi",44417,45192,45769,46408,47169,47811
"Lauderdale County, Mississippi",60156,59501,58947,58232,57771,56337
"Lawrence County, Mississippi",9509,9569,9540,9542,9518,9092
"Leake County, Mississippi",16489,16698,16777,16722,16897,15889
"Lee County, Mississippi",63228,62906,63163,63443,63723,62254
"Leflore County, Mississippi",22049,21726,21521,21086,20798,20698
"Lincoln County, Mississippi",26085,26068,26056,26105,26198,26689
"Lowndes County, Mississippi",45514,45284,45261,45141,44926,44741
"Madison County, Mississippi",75728,76119,77225,78261,79127,81196
"Marion County, Mississippi",19630,19440,19335,19234,19002,18828
"Marshall County, Mississippi",28143,28097,28067,28000,28026,26874
"Monroe County, Mississippi",27600,27693,27646,27570,27567,26634
"Montgomery County, Mississippi",7961,7937,7871,7781,7694,7672
"Neshoba County, Mississippi",21132,21111,21165,21228,21255,20989
"Newton County, Mississippi",16152,15976,16061,15946,15971,16119
"Noxubee County, Mississippi",8252,8143,8096,8019,7953,7826
"Oktibbeha County, Mississippi",40734,40748,40821,40891,40914,42185
"Panola County, Mississippi",25428,25476,25585,25619,25546,24946
"Pearl River County, Mississippi",42347,42412,42694,42805,43079,43277
"Perry County, Mississippi",9303,9227,9219,9225,9248,9013
"Pike County, Mississippi",29278,29046,29298,29132,29174,29728
"Pontotoc County, Mississippi",22574,22718,22872,23209,23497,22795
"Prentiss County, Mississippi",19482,19563,19627,19537,19472,19342
